"zip_code","city_name","mean_price","median_price","median_reviews","mean_reviews","median_star","mean_star","median_salary","population","zip_count","Latitude","Longitude"
2171,"Weymouth",1.58064516129032,1,55,71.4516129032258,3.5,3.51612903225806,66808,16610,31,42.284498,-71.02316
2339,"Weymouth",1.33333333333333,1,20,24.6666666666667,3.5,3.66666666666667,104787,13171,3,42.12867,-70.85913
2301,"Weymouth",1.54545454545455,2,11,24.0649350649351,4,3.7012987012987,48470,61459,77,42.0794,-71.03441
2186,"Weymouth",1.5,1,44,74.75,3.25,3.3125,98712,26112,8,42.253074,-71.07496
2025,"Weymouth",2,2,22,22,3.5,3.5,114214,7255,1,42.241908,-70.81223
2045,"Weymouth",2,2,115,115,4,4,70039,11047,1,42.286347,-70.87663
2780,"Taunton",1.6,2,13,20.1142857142857,3.5,3.57142857142857,53796,49469,70,41.904888,-71.10288
2347,"Taunton",1.5,1.5,19,26,3.5,3.16666666666667,94495,9810,6,41.835094,-70.95973
2718,"Taunton",2,2,30,30.25,3,3,81142,6406,4,41.876249,-71.01827
2767,"Taunton",1.58333333333333,2,21.5,35.5833333333333,3.5,3.33333333333333,76338,11839,24,41.934586,-71.04905
2779,"Taunton",1,1,4.5,12.25,3.75,4,81125,5748,4,41.825252,-71.07799
2324,"Taunton",1.5,1.5,31.5,45.8,3.75,3.575,80879,22922,20,41.979501,-70.97215
2346,"Taunton",1.55,2,5.5,17.7,3,3.425,72466,19926,20,41.889582,-70.89406
2379,"Taunton",1.45454545454545,1,17.5,22.9545454545455,3.5,3.40909090909091,73651,6610,22,42.02195,-71.01878
2715,"Taunton",1.75,2,13.5,22.25,3.5,3.25,83613,2591,4,41.811514,-71.13633
2764,"Taunton",2,2,9,9,4,4,83621,3623,1,41.851557,-71.15125
2769,"Taunton",1.6,2,13,27.2,4,3.9,90530,10179,5,41.835067,-71.26115
2375,"Taunton",1.84615384615385,2,25,44,4,3.80769230769231,78410,9034,13,42.029749,-71.10191
2766,"Taunton",1.55555555555556,2,13,19.2777777777778,4,3.91666666666667,77953,17869,18,41.969185,-71.1854
2702,"Taunton",1.66666666666667,2,59,40,3.5,3.83333333333333,91095,3869,3,41.792192,-71.06446
2703,"Taunton",1.69230769230769,2,59,59.3846153846154,3.5,3.38461538461538,67398,41916,13,41.928099,-71.31456
2726,"Taunton",1.75,2,13,10.5,3.75,3.5,68267,15530,4,41.754828,-71.14894
2333,"Taunton",1.76470588235294,2,7,20.4705882352941,4,3.47058823529412,82133,13012,17,42.029083,-70.95227
2048,"Taunton",1.85714285714286,2,60,67.8571428571429,4,3.42857142857143,93593,22393,7,42.019982,-71.2191
2356,"Taunton",2,2,10.5,12.5,3.5,3.5,99682,12966,6,42.058507,-71.11309
2360,"Taunton",1.7037037037037,2,25,47.2716049382716,3.5,3.64814814814815,74603,51563,81,41.894676,-70.61999
1103,"Springfiled",1.64516129032258,2,11,39.3225806451613,4,3.88709677419355,16963,2731,31,42.103294,-72.59112
1104,"Springfiled",1.41379310344828,1,8,11.9310344827586,3.5,3.5,35380,22078,29,42.130343,-72.57338
1118,"Springfiled",1.75,2,10.5,14.25,3.5,3.5,55853,14283,8,42.093144,-72.5291
1105,"Springfiled",1.64285714285714,1.5,11.5,47.1428571428571,4,3.5,17756,12816,14,42.096644,-72.5798
1109,"Springfiled",1.54166666666667,1.5,7.5,16.5833333333333,4,3.95833333333333,34638,30683,24,42.116277,-72.55031
1108,"Springfiled",1.44827586206897,1,26,31.4827586206897,4,3.8448275862069,37411,26060,29,42.084094,-72.55523
1128,"Springfiled",1.8,2,18,25,3.5,3.7,63177,3040,5,42.095344,-72.48857
1107,"Springfiled",1.83333333333333,2,5.5,8.33333333333333,3.5,3.5,23557,11615,6,42.120193,-72.6061
1151,"Springfiled",1.625,2,6.5,9.25,4,4.1875,34175,8302,8,42.153926,-72.50531
1119,"Springfiled",1.66666666666667,2,10.5,15.9166666666667,3.5,3.79166666666667,45184,13170,12,42.128442,-72.50932
1129,"Springfiled",1.66666666666667,2,13,20.6666666666667,4,4.05555555555556,58704,6982,9,42.121031,-72.4896
1089,"Springfiled",1.73333333333333,2,27,46.6666666666667,3.5,3.58333333333333,53711,27894,30,42.112793,-72.64066
1001,"Springfiled",1.875,2,32,45.375,4,3.625,56663,16445,8,42.07061,-72.62029
1020,"Springfiled",1.45238095238095,1,7,17.9285714285714,4,4.01190476190476,50058,29626,42,42.175992,-72.57265
1013,"Springfiled",1.6,2,8,17.1142857142857,3.5,3.68571428571429,36578,22907,35,42.161492,-72.60316
